"0,0","0,1","0,2","0,3","0,4","0,5","0,6","1,0","1,1","1,2","1,3","1,4","1,5","1,6","2,0","2,1","2,2","2,3","2,4","2,5","2,6","3,0","3,1","3,2","3,3","3,4","3,5","3,6","4,0","4,1","4,2","4,3","4,4","4,5","4,6","5,0","5,1","5,2","5,3","5,4","5,5","5,6",move
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,X,.,.,O,.,.,.,X,.,O,X,.,.,.,X,.,X,X,X,.,O,O,X,O,X,O,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,X,.,O,O,.,.,.,X,.,O,X,.,.,.,X,.,X,X,X,.,O,O,X,O,X,O,.,"('I', 1)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,X,.,O,O,.,.,.,X,.,O,X,.,.,X,X,.,X,X,X,.,O,O,X,O,X,O,.,"('I', 2)"
.,.,.,.,.,.,.,.,O,.,.,X,.,.,.,X,.,O,O,.,.,.,X,.,O,X,.,.,X,X,.,X,X,X,.,O,O,X,O,X,O,.,"('I', 5)"
.,.,.,.,X,.,.,.,O,.,.,X,.,.,.,X,.,O,O,.,.,.,X,.,O,X,.,.,X,X,.,X,X,X,.,O,O,X,O,X,O,.,"('R', 6)"
.,.,.,.,X,.,.,.,O,.,.,X,.,.,.,X,.,O,O,.,.,.,X,.,O,X,.,.,X,X,.,X,X,.,.,O,O,X,O,X,X,.,"('I', 6)"
.,.,.,.,X,.,.,.,O,.,.,X,.,.,.,X,.,O,O,.,.,.,X,.,O,X,.,.,X,X,.,X,X,X,.,O,O,X,O,X,X,.,"('R', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,O,.,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,O,O,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,X,.,O,O,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,X,O,O,O,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,X,.,X,O,O,O,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,X,.,X,.,X,O,O,O,"('R', 4)"
